model,placement_id,cost,attributed_revenue,romi,roas
linear,pl_004,30222.0,45950.0,0.5204155912911125,1.5204155912911124
linear,pl_021,30556.0,41950.0,0.37288912161277654,1.3728891216127765
linear,pl_001,31636.0,34960.0,0.10507017322038184,1.1050701732203818
linear,pl_020,37133.0,40939.99999999999,0.10252336196913776,1.1025233619691377
linear,pl_022,36504.0,31959.999999999996,-0.1244795090948938,0.8755204909051062
linear,pl_014,28919.0,19970.0,-0.30945053425083857,0.6905494657491614
linear,pl_008,31917.0,19990.0,-0.3736880032584516,0.6263119967415484
linear,pl_005,31162.0,14989.999999999998,-0.5189654065849433,0.4810345934150567
time_decay,pl_019,4620.0,23970.0,4.188311688311688,5.188311688311688
time_decay,pl_002,6179.0,28960.0,3.6868425311539084,4.686842531153909
time_decay,pl_011,11407.0,39970.0,2.503988778820023,3.503988778820023
time_decay,pl_000,6302.0,21970.0,2.4861948587749922,3.4861948587749922
time_decay,pl_023,16707.0,56950.0,2.4087508230083197,3.4087508230083197
time_decay,pl_007,19664.0,66920.0,2.403173311635476,3.403173311635476
time_decay,pl_003,28802.0,93930.0,2.2612318588986877,3.2612318588986877
time_decay,pl_018,21418.0,68930.0,2.218321038378934,3.218321038378934
time_decay,pl_015,16117.0,48960.0,2.0377861884966184,3.0377861884966184
time_decay,pl_016,28083.0,84910.0,2.0235373713634583,3.0235373713634583
time_decay,pl_029,28909.0,84910.0,1.9371476010930853,2.937147601093085
time_decay,pl_010,19667.0,52950.0,1.6923272486907002,2.6923272486907
time_decay,pl_025,7807.0,19990.0,1.5605226079159729,2.560522607915973
time_decay,pl_017,31800.0,78950.0,1.4827044025157232,2.4827044025157234
time_decay,pl_024,20128.0,49960.0,1.482114467408585,2.482114467408585
time_decay,pl_026,23886.0,58960.0,1.468391526417148,2.468391526417148
time_decay,pl_013,33622.0,81930.0,1.4367973350782226,2.4367973350782224
time_decay,pl_009,26823.0,62940.0,1.3464936807963315,2.3464936807963315
time_decay,pl_028,26301.0,49950.0,0.8991673320406068,1.8991673320406068
time_decay,pl_012,34756.0,64940.0,0.8684543675912073,1.8684543675912073
time_decay,pl_006,34070.0,53950.0,0.5835045494570003,1.5835045494570004
time_decay,pl_027,27783.0,43970.0,0.5826224669762085,1.5826224669762086
time_decay,pl_004,30222.0,45950.0,0.5204155912911125,1.5204155912911124
time_decay,pl_021,30556.0,41950.0,0.37288912161277654,1.3728891216127765
time_decay,pl_001,31636.0,34960.0,0.10507017322038184,1.1050701732203818
time_decay,pl_020,37133.0,40940.0,0.10252336196913796,1.102523361969138
time_decay,pl_022,36504.0,31960.0,-0.1244795090948937,0.8755204909051063
time_decay,pl_014,28919.0,19970.0,-0.30945053425083857,0.6905494657491614
time_decay,pl_008,31917.0,19990.0,-0.3736880032584516,0.6263119967415484
time_decay,pl_005,31162.0,14990.000000000002,-0.5189654065849432,0.48103459341505683
