order_id,user_id,placement_id,campaign_id,channel_id,click_timestamp,order_timestamp
so_00017,su_00154,pl_017,cmp_001,ch_007,2026-08-22 22:14:13.360649316,2026-08-30 07:06:27.191034665
so_00018,su_00155,pl_009,cmp_001,ch_009,2026-08-21 11:58:04.614800997,2026-08-25 07:07:42.901162958
so_00019,su_00156,pl_015,cmp_007,ch_005,2026-09-08 04:28:42.678947451,2026-09-10 01:06:41.680638822
so_00020,su_00174,pl_004,cmp_004,ch_004,2026-09-02 12:31:11.696896310,2026-09-07 02:47:47.043167081
so_00021,su_00192,pl_007,cmp_007,ch_007,2026-09-09 23:49:25.811345393,2026-09-15 08:17:32.252386001
so_00022,su_00195,pl_029,cmp_005,ch_009,2026-09-03 22:22:30.930739813,2026-09-05 08:48:26.671595830
so_00023,su_00205,pl_023,cmp_007,ch_003,2026-08-12 06:21:51.334778597,2026-08-18 19:18:33.064727018
so_00024,su_00206,pl_022,cmp_006,ch_002,2026-08-22 21:23:42.618985368,2026-08-27 00:31:29.108526508
so_00025,su_00214,pl_014,cmp_006,ch_004,2026-09-09 09:39:16.830658381,2026-09-16 17:16:13.533117664
so_00026,su_00215,pl_003,cmp_003,ch_003,2026-09-11 22:35:54.243506908,2026-09-18 15:11:48.637986139
so_00027,su_00219,pl_010,cmp_002,ch_000,2026-08-24 22:43:44.167743277,2026-08-27 20:38:01.880791635
so_00028,su_00230,pl_009,cmp_001,ch_009,2026-08-22 16:20:30.395296221,2026-08-26 01:17:36.780255520
so_00029,su_00232,pl_002,cmp_002,ch_002,2026-08-10 05:51:19.958589951,2026-08-17 04:58:19.336101571
so_00030,su_00239,pl_017,cmp_001,ch_007,2026-08-21 10:38:54.089233021,2026-08-25 02:10:45.763942643
so_00031,su_00254,pl_020,cmp_004,ch_000,2026-09-11 18:58:54.699433646,2026-09-12 16:03:17.894148343
so_00032,su_00273,pl_005,cmp_005,ch_005,2026-08-09 21:14:26.006311579,2026-08-12 02:44:38.308486001
so_00033,su_00274,pl_011,cmp_003,ch_001,2026-08-06 21:32:02.493333035,2026-08-14 00:37:34.152387601
so_00034,su_00288,pl_028,cmp_004,ch_008,2026-08-18 09:51:14.809364353,2026-08-20 05:19:47.153781361
so_00035,su_00292,pl_017,cmp_001,ch_007,2026-08-22 23:47:23.980168586,2026-08-23 22:02:29.581636044
so_00036,su_00299,pl_016,cmp_000,ch_006,2026-08-11 10:21:08.476069341,2026-08-15 04:56:16.968589774
so_00037,su_00311,pl_015,cmp_007,ch_005,2026-09-08 17:26:03.346449155,2026-09-12 07:18:45.928737429
so_00038,su_00313,pl_017,cmp_001,ch_007,2026-08-23 13:37:56.313671886,2026-08-24 01:22:52.494773876
so_00039,su_00318,pl_004,cmp_004,ch_004,2026-09-04 08:26:33.281301132,2026-09-05 11:47:23.700738929
so_00040,su_00333,pl_006,cmp_006,ch_006,2026-08-19 02:01:49.940582795,2026-08-21 15:57:32.788562204
so_00041,su_00334,pl_011,cmp_003,ch_001,2026-08-07 16:30:13.557428168,2026-08-13 06:59:34.377774321
so_00042,su_00336,pl_028,cmp_004,ch_008,2026-08-17 19:20:54.753908059,2026-08-21 01:23:50.725387089
so_00043,su_00337,pl_012,cmp_004,ch_002,2026-08-30 03:57:49.809155749,2026-08-31 01:55:32.025036361
so_00044,su_00338,pl_009,cmp_001,ch_009,2026-08-20 10:19:21.335247863,2026-08-22 08:26:25.480174356
so_00045,su_00350,pl_013,cmp_005,ch_003,2026-09-03 01:52:59.630554815,2026-09-08 13:15:18.946258789
so_00046,su_00351,pl_021,cmp_005,ch_001,2026-08-18 01:30:41.392632765,2026-08-25 04:42:44.052716088
so_00047,su_00357,pl_029,cmp_005,ch_009,2026-09-05 10:22:01.328165995,2026-09-10 04:21:48.684307896
so_00048,su_00385,pl_000,cmp_000,ch_000,2026-08-22 03:26:38.257008769,2026-08-24 18:52:20.347788087
so_00049,su_00394,pl_011,cmp_003,ch_001,2026-08-06 22:18:39.083094789,2026-08-09 10:05:46.320003864
so_00050,su_00401,pl_010,cmp_002,ch_000,2026-08-27 02:57:43.888792708,2026-08-31 12:05:31.222784651
so_00051,su_00403,pl_001,cmp_001,ch_001,2026-09-07 08:42:58.599141736,2026-09-12 07:11:25.761051959
so_00052,su_00409,pl_000,cmp_000,ch_000,2026-08-22 07:57:21.688827574,2026-08-25 22:42:17.144770586
so_00053,su_00410,pl_010,cmp_002,ch_000,2026-08-25 00:42:55.469011468,2026-08-31 16:09:00.369231729
so_00054,su_00414,pl_024,cmp_000,ch_004,2026-08-23 07:20:45.987358137,2026-08-25 18:48:40.851367893
so_00055,su_00417,pl_016,cmp_000,ch_006,2026-08-12 15:54:25.852118066,2026-08-15 06:57:17.377782130
so_00056,su_00432,pl_020,cmp_004,ch_000,2026-09-09 12:59:59.411302305,2026-09-14 01:53:15.809287866
so_00057,su_00435,pl_023,cmp_007,ch_003,2026-08-11 03:06:02.179047233,2026-08-15 13:20:22.370144376
so_00058,su_00437,pl_009,cmp_001,ch_009,2026-08-21 08:45:10.268581410,2026-08-27 17:58:04.357617709
so_00059,su_00444,pl_012,cmp_004,ch_002,2026-08-28 03:24:55.070299719,2026-08-28 17:09:23.622605958
so_00060,su_00447,pl_019,cmp_003,ch_009,2026-08-30 23:16:05.632008067,2026-09-02 09:37:26.353850249
so_00061,su_00468,pl_018,cmp_002,ch_008,2026-08-10 01:20:58.076693479,2026-08-16 00:42:24.970937973
so_00062,su_00474,pl_013,cmp_005,ch_003,2026-09-02 17:14:08.215262749,2026-09-09 23:28:19.444919392
so_00063,su_00477,pl_029,cmp_005,ch_009,2026-09-06 07:24:23.811899675,2026-09-08 22:00:44.457383312
so_00064,su_00480,pl_026,cmp_002,ch_006,2026-08-21 08:36:28.186027243,2026-08-27 19:11:12.720018897
so_00065,su_00482,pl_007,cmp_007,ch_007,2026-09-08 03:58:33.788125881,2026-09-10 03:29:27.864973672
so_00066,su_00492,pl_027,cmp_003,ch_007,2026-09-05 01:56:04.895573454,2026-09-09 22:26:31.898726745
so_00067,su_00495,pl_029,cmp_005,ch_009,2026-09-05 06:22:13.643095972,2026-09-08 21:37:32.309678456
so_00068,su_00497,pl_018,cmp_002,ch_008,2026-08-11 23:16:24.709070682,2026-08-18 04:09:09.027082426
so_00069,su_00510,pl_004,cmp_004,ch_004,2026-09-03 01:53:59.438875844,2026-09-06 06:02:31.882044481
so_00070,su_00517,pl_015,cmp_007,ch_005,2026-09-08 03:30:32.031275031,2026-09-12 21:12:11.689999012
so_00071,su_00518,pl_000,cmp_000,ch_000,2026-08-20 07:20:17.068390306,2026-08-25 00:03:05.938684130
so_00072,su_00519,pl_028,cmp_004,ch_008,2026-08-17 06:28:34.103645030,2026-08-20 17:24:29.983406210
so_00073,su_00521,pl_023,cmp_007,ch_003,2026-08-11 20:06:30.787161528,2026-08-15 05:56:33.348353439
so_00074,su_00525,pl_018,cmp_002,ch_008,2026-08-11 19:56:55.306101316,2026-08-14 21:01:39.566062243
so_00075,su_00526,pl_004,cmp_004,ch_004,2026-09-04 05:01:17.605456633,2026-09-11 12:13:30.812259648
so_00076,su_00527,pl_016,cmp_000,ch_006,2026-08-13 01:40:38.011952214,2026-08-20 03:50:03.925288536
so_00077,su_00536,pl_016,cmp_000,ch_006,2026-08-12 03:08:25.201537506,2026-08-18 14:55:58.552529926
so_00078,su_00539,pl_004,cmp_004,ch_004,2026-09-03 15:00:07.175004211,2026-09-07 11:25:47.337389443
so_00079,su_00545,pl_010,cmp_002,ch_000,2026-08-25 19:51:56.722161580,2026-08-26 22:47:01.887941087
so_00080,su_00547,pl_029,cmp_005,ch_009,2026-09-04 01:47:29.401499655,2026-09-06 00:52:28.938480971
so_00081,su_00548,pl_029,cmp_005,ch_009,2026-09-06 17:35:22.753821569,2026-09-07 16:32:25.379344727
so_00082,su_00550,pl_021,cmp_005,ch_001,2026-08-17 16:19:40.989244341,2026-08-19 17:40:10.902742920
so_00083,su_00557,pl_023,cmp_007,ch_003,2026-08-12 15:47:58.346322051,2026-08-19 05:47:05.232933201
so_00084,su_00564,pl_029,cmp_005,ch_009,2026-09-03 21:37:31.166587226,2026-09-06 16:27:34.696375144
so_00085,su_00575,pl_018,cmp_002,ch_008,2026-08-12 02:24:08.047576512,2026-08-14 07:32:22.925316677
so_00086,su_00579,pl_001,cmp_001,ch_001,2026-09-06 03:10:33.860331843,2026-09-11 11:11:22.111517860
so_00087,su_00591,pl_006,cmp_006,ch_006,2026-08-17 22:10:29.141049112,2026-08-19 03:00:36.272422267
so_00088,su_00593,pl_014,cmp_006,ch_004,2026-09-08 23:29:15.406127508,2026-09-11 02:52:47.066520873
so_00089,su_00605,pl_003,cmp_003,ch_003,2026-09-11 16:31:11.465373928,2026-09-17 10:23:30.652557143
so_00090,su_00608,pl_027,cmp_003,ch_007,2026-09-04 01:56:56.032986116,2026-09-08 00:22:10.647001343
so_00091,su_00626,pl_014,cmp_006,ch_004,2026-09-10 16:34:37.043927142,2026-09-12 00:35:23.804154633
so_00092,su_00629,pl_016,cmp_000,ch_006,2026-08-13 11:42:01.157114875,2026-08-19 05:25:59.600953053
so_00093,su_00642,pl_020,cmp_004,ch_000,2026-09-10 13:24:33.017055645,2026-09-17 17:59:01.742773806
so_00094,su_00651,pl_003,cmp_003,ch_003,2026-09-10 23:02:41.739676409,2026-09-16 15:50:44.265837709
so_00095,su_00656,pl_018,cmp_002,ch_008,2026-08-11 03:56:05.710284874,2026-08-14 14:36:44.272982156
so_00096,su_00671,pl_012,cmp_004,ch_002,2026-08-29 09:41:33.693509898,2026-09-01 16:41:50.040468501
so_00097,su_00674,pl_008,cmp_000,ch_008,2026-09-04 10:46:23.334028432,2026-09-06 19:57:30.889383359
so_00098,su_00675,pl_001,cmp_001,ch_001,2026-09-06 20:15:07.986405785,2026-09-07 04:21:52.522070586
so_00099,su_00684,pl_024,cmp_000,ch_004,2026-08-22 02:11:18.547636812,2026-08-23 13:43:16.960678266
so_00100,su_00694,pl_018,cmp_002,ch_008,2026-08-11 18:15:27.894547452,2026-08-17 10:05:47.385918559
so_00101,su_00696,pl_017,cmp_001,ch_007,2026-08-23 21:04:24.763789632,2026-08-30 16:38:47.432186011
so_00102,su_00701,pl_006,cmp_006,ch_006,2026-08-17 18:04:59.921164688,2026-08-20 03:28:57.723269582
so_00103,su_00721,pl_024,cmp_000,ch_004,2026-08-24 06:17:26.102025497,2026-08-26 02:22:34.390054136
so_00104,su_00723,pl_021,cmp_005,ch_001,2026-08-17 17:28:26.109278638,2026-08-22 06:56:09.428001443
so_00105,su_00724,pl_010,cmp_002,ch_000,2026-08-27 01:25:17.510261571,2026-08-30 01:20:04.018611978
so_00106,su_00730,pl_024,cmp_000,ch_004,2026-08-22 20:05:33.298752822,2026-08-26 03:01:35.180793770
so_00107,su_00737,pl_002,cmp_002,ch_002,2026-08-09 15:13:34.523214719,2026-08-10 00:04:49.232915909
so_00108,su_00746,pl_019,cmp_003,ch_009,2026-08-29 10:11:00.015877250,2026-08-31 19:34:09.469177184
so_00109,su_00761,pl_012,cmp_004,ch_002,2026-08-28 15:12:43.594579821,2026-09-04 23:12:13.858600022
so_00110,su_00766,pl_003,cmp_003,ch_003,2026-09-09 06:41:51.143955327,2026-09-13 14:22:54.776001924
so_00111,su_00788,pl_007,cmp_007,ch_007,2026-09-08 15:33:05.809448955,2026-09-12 17:04:20.748007872
so_00112,su_00791,pl_021,cmp_005,ch_001,2026-08-16 09:31:57.684974998,2026-08-18 13:35:23.228801295
so_00113,su_00793,pl_029,cmp_005,ch_009,2026-09-05 01:47:04.120603941,2026-09-11 20:09:50.658465929
so_00114,su_00804,pl_007,cmp_007,ch_007,2026-09-09 11:22:24.825215366,2026-09-11 18:53:55.019513321
so_00115,su_00805,pl_029,cmp_005,ch_009,2026-09-05 17:10:42.547610505,2026-09-08 22:55:48.190994115
so_00116,su_00819,pl_007,cmp_007,ch_007,2026-09-08 14:28:45.698578367,2026-09-14 01:29:33.582420977
so_00117,su_00830,pl_003,cmp_003,ch_003,2026-09-11 23:31:50.075121451,2026-09-12 15:02:48.341200207
so_00118,su_00835,pl_013,cmp_005,ch_003,2026-09-02 14:44:46.066114014,2026-09-08 08:07:27.666876255
so_00119,su_00842,pl_028,cmp_004,ch_008,2026-08-16 01:55:43.705119319,2026-08-19 11:54:15.827194020
so_00120,su_00843,pl_018,cmp_002,ch_008,2026-08-10 07:17:24.668331073,2026-08-15 06:45:06.000012337
so_00121,su_00847,pl_006,cmp_006,ch_006,2026-08-18 20:10:48.167400710,2026-08-23 07:37:52.461877346
so_00122,su_00849,pl_016,cmp_000,ch_006,2026-08-13 05:16:12.844546756,2026-08-19 20:27:00.593816636
so_00123,su_00855,pl_006,cmp_006,ch_006,2026-08-18 14:50:02.596496462,2026-08-19 12:48:19.111604065
so_00124,su_00860,pl_016,cmp_000,ch_006,2026-08-13 08:02:08.851683513,2026-08-15 14:52:00.538424016
so_00125,su_00862,pl_002,cmp_002,ch_002,2026-08-08 09:50:27.822291318,2026-08-13 04:07:10.174068953
so_00126,su_00865,pl_001,cmp_001,ch_001,2026-09-06 15:27:32.417598884,2026-09-13 06:06:38.442348165
so_00127,su_00868,pl_022,cmp_006,ch_002,2026-08-21 10:33:59.116473352,2026-08-28 08:33:22.852036246
so_00128,su_00885,pl_012,cmp_004,ch_002,2026-08-28 06:46:36.186441834,2026-09-04 19:51:04.947882371
so_00129,su_00931,pl_007,cmp_007,ch_007,2026-09-10 06:25:41.188247298,2026-09-12 06:11:23.650418766
so_00130,su_00934,pl_026,cmp_002,ch_006,2026-08-20 23:34:50.188367832,2026-08-24 20:23:45.477190256
so_00131,su_00937,pl_009,cmp_001,ch_009,2026-08-20 11:17:02.029046532,2026-08-26 13:38:35.576094572
so_00132,su_00939,pl_020,cmp_004,ch_000,2026-09-11 01:40:51.394171484,2026-09-17 08:23:33.617756905
so_00133,su_00955,pl_023,cmp_007,ch_003,2026-08-11 21:23:59.435319025,2026-08-17 14:16:02.879731623
so_00134,su_00964,pl_012,cmp_004,ch_002,2026-08-29 04:20:27.497503422,2026-09-04 11:01:08.871841834
so_00135,su_00965,pl_013,cmp_005,ch_003,2026-09-01 05:40:54.068465946,2026-09-03 01:45:19.897133803
so_00136,su_00969,pl_009,cmp_001,ch_009,2026-08-20 23:20:57.198186520,2026-08-25 08:48:58.355670412
so_00137,su_00976,pl_002,cmp_002,ch_002,2026-08-09 15:34:14.790997102,2026-08-11 21:28:00.116174350
so_00138,su_00981,pl_016,cmp_000,ch_006,2026-08-12 13:07:55.210614174,2026-08-16 11:30:03.320245233
so_00139,su_00982,pl_013,cmp_005,ch_003,2026-09-03 18:35:56.873318428,2026-09-07 02:37:46.148022555
so_00140,su_00986,pl_003,cmp_003,ch_003,2026-09-11 14:47:44.655781414,2026-09-13 06:05:36.925973228
so_00141,su_00999,pl_007,cmp_007,ch_007,2026-09-09 21:19:55.182459614,2026-09-13 13:56:14.165921709
