order_id,user_id,total_amount,course,timestamp,data_source
so_00027,su_00219,14990.0,Аналитика про,2026-08-27 20:38:01.880791635,synthetic
so_00028,su_00230,14990.0,AB тестам,2026-08-26 01:17:36.780255520,synthetic
so_00029,su_00232,3990.0,Алгоритмы про,2026-08-17 04:58:19.336101571,synthetic
so_00030,su_00239,19990.0,Аналитика про,2026-08-25 02:10:45.763942643,synthetic
so_00031,su_00254,14990.0,Дискретка,2026-09-12 16:03:17.894148343,synthetic
so_00032,su_00273,14990.0,Дискретка,2026-08-12 02:44:38.308486001,synthetic
so_00033,su_00274,9990.0,Линейная алгебра,2026-08-14 00:37:34.152387601,synthetic
so_00034,su_00288,19990.0,Теория вероятностей,2026-08-20 05:19:47.153781361,synthetic
so_00035,su_00292,19990.0,Теория вероятностей,2026-08-23 22:02:29.581636044,synthetic
so_00036,su_00299,5990.0,Data Science,2026-08-15 04:56:16.968589774,synthetic
so_00037,su_00311,3990.0,Data Science,2026-09-12 07:18:45.928737429,synthetic
so_00038,su_00313,3990.0,Мат анализ,2026-08-24 01:22:52.494773876,synthetic
so_00039,su_00318,3990.0,ML про,2026-09-05 11:47:23.700738929,synthetic
so_00040,su_00333,14990.0,ML старт,2026-08-21 15:57:32.788562204,synthetic
so_00041,su_00334,9990.0,К ВУЗу,2026-08-13 06:59:34.377774321,synthetic
so_00042,su_00336,9990.0,Дискретка,2026-08-21 01:23:50.725387089,synthetic
so_00043,su_00337,3990.0,AI агенты,2026-08-31 01:55:32.025036361,synthetic
so_00044,su_00338,9990.0,Backend про,2026-08-22 08:26:25.480174356,synthetic
so_00045,su_00350,9990.0,Алгоритмы про,2026-09-08 13:15:18.946258789,synthetic
so_00046,su_00351,19990.0,Алгоритмы старт,2026-08-25 04:42:44.052716088,synthetic
so_00047,su_00357,5990.0,AB тестам,2026-09-10 04:21:48.684307896,synthetic
so_00048,su_00385,9990.0,Теория вероятностей,2026-08-24 18:52:20.347788087,synthetic
so_00049,su_00394,19990.0,ML про,2026-08-09 10:05:46.320003864,synthetic
so_00050,su_00401,3990.0,ML старт,2026-08-31 12:05:31.222784651,synthetic
so_00051,su_00403,14990.0,Аналитика про,2026-09-12 07:11:25.761051959,synthetic
so_00052,su_00409,5990.0,Алгоритмы старт,2026-08-25 22:42:17.144770586,synthetic
so_00053,su_00410,3990.0,Линейная алгебра,2026-08-31 16:09:00.369231729,synthetic
so_00054,su_00414,9990.0,Алгоритмы про,2026-08-25 18:48:40.851367893,synthetic
so_00055,su_00417,19990.0,Алгоритмы старт,2026-08-15 06:57:17.377782130,synthetic
so_00056,su_00432,3990.0,Мат анализ,2026-09-14 01:53:15.809287866,synthetic
so_00057,su_00435,9990.0,Линейная алгебра,2026-08-15 13:20:22.370144376,synthetic
so_00058,su_00437,19990.0,Дискретка,2026-08-27 17:58:04.357617709,synthetic
so_00059,su_00444,9990.0,К ВУЗу,2026-08-28 17:09:23.622605958,synthetic
so_00060,su_00447,9990.0,ML старт,2026-09-02 09:37:26.353850249,synthetic
so_00061,su_00468,19990.0,Backend про,2026-08-16 00:42:24.970937973,synthetic
so_00062,su_00474,19990.0,Backend старт,2026-09-09 23:28:19.444919392,synthetic
so_00063,su_00477,3990.0,Теория вероятностей,2026-09-08 22:00:44.457383312,synthetic
so_00064,su_00480,19990.0,AI агенты,2026-08-27 19:11:12.720018897,synthetic
so_00065,su_00482,9990.0,К ВУЗу,2026-09-10 03:29:27.864973672,synthetic
so_00066,su_00492,3990.0,Аналитика про,2026-09-09 22:26:31.898726745,synthetic
so_00067,su_00495,9990.0,AI агенты,2026-09-08 21:37:32.309678456,synthetic
so_00068,su_00497,9990.0,Data Engenering,2026-08-18 04:09:09.027082426,synthetic
so_00069,su_00510,19990.0,Аналитика старт,2026-09-06 06:02:31.882044481,synthetic
so_00070,su_00517,9990.0,Теория вероятностей,2026-09-12 21:12:11.689999012,synthetic
so_00071,su_00518,5990.0,К ВУЗу,2026-08-25 00:03:05.938684130,synthetic
so_00072,su_00519,3990.0,Линейная алгебра,2026-08-20 17:24:29.983406210,synthetic
so_00073,su_00521,5990.0,Аналитика старт,2026-08-15 05:56:33.348353439,synthetic
so_00074,su_00525,5990.0,Алгоритмы про,2026-08-14 21:01:39.566062243,synthetic
so_00075,su_00526,9990.0,Аналитика старт,2026-09-11 12:13:30.812259648,synthetic
so_00076,su_00527,5990.0,ML старт,2026-08-20 03:50:03.925288536,synthetic
so_00077,su_00536,5990.0,AI агенты,2026-08-18 14:55:58.552529926,synthetic
so_00078,su_00539,5990.0,ML про,2026-09-07 11:25:47.337389443,synthetic
so_00079,su_00545,19990.0,ML старт,2026-08-26 22:47:01.887941087,synthetic
so_00080,su_00547,14990.0,ML про,2026-09-06 00:52:28.938480971,synthetic
so_00081,su_00548,14990.0,Аналитика про,2026-09-07 16:32:25.379344727,synthetic
so_00082,su_00550,3990.0,AB тестам,2026-08-19 17:40:10.902742920,synthetic
so_00083,su_00557,14990.0,Data Science,2026-08-19 05:47:05.232933201,synthetic
so_00084,su_00564,3990.0,Аналитика старт,2026-09-06 16:27:34.696375144,synthetic
so_00085,su_00575,3990.0,Линейная алгебра,2026-08-14 07:32:22.925316677,synthetic
so_00086,su_00579,3990.0,Линейная алгебра,2026-09-11 11:11:22.111517860,synthetic
so_00087,su_00591,3990.0,ML про,2026-08-19 03:00:36.272422267,synthetic
so_00088,su_00593,3990.0,Backend старт,2026-09-11 02:52:47.066520873,synthetic
so_00089,su_00605,19990.0,Алгоритмы,2026-09-17 10:23:30.652557143,synthetic
so_00090,su_00608,19990.0,Data Science,2026-09-08 00:22:10.647001343,synthetic
so_00091,su_00626,5990.0,Алгоритмы про,2026-09-12 00:35:23.804154633,synthetic
so_00092,su_00629,5990.0,Дискретка,2026-08-19 05:25:59.600953053,synthetic
so_00093,su_00642,3990.0,Дискретка,2026-09-17 17:59:01.742773806,synthetic
so_00094,su_00651,14990.0,Data Engenering,2026-09-16 15:50:44.265837709,synthetic
so_00095,su_00656,14990.0,Алгоритмы про,2026-08-14 14:36:44.272982156,synthetic
so_00096,su_00671,5990.0,Аналитика старт,2026-09-01 16:41:50.040468501,synthetic
so_00097,su_00674,19990.0,Алгоритмы,2026-09-06 19:57:30.889383359,synthetic
so_00098,su_00675,9990.0,Алгоритмы,2026-09-07 04:21:52.522070586,synthetic
so_00099,su_00684,14990.0,ML про,2026-08-23 13:43:16.960678266,synthetic
so_00100,su_00694,9990.0,ML про,2026-08-17 10:05:47.385918559,synthetic
so_00101,su_00696,14990.0,Backend про,2026-08-30 16:38:47.432186011,synthetic
so_00102,su_00701,9990.0,Аналитика старт,2026-08-20 03:28:57.723269582,synthetic
so_00103,su_00721,9990.0,AB тестам,2026-08-26 02:22:34.390054136,synthetic
so_00104,su_00723,9990.0,Аналитика про,2026-08-22 06:56:09.428001443,synthetic
so_00105,su_00724,9990.0,AI агенты,2026-08-30 01:20:04.018611978,synthetic
so_00106,su_00730,14990.0,Backend про,2026-08-26 03:01:35.180793770,synthetic
so_00107,su_00737,5990.0,ML старт,2026-08-10 00:04:49.232915909,synthetic
so_00108,su_00746,3990.0,ML про,2026-08-31 19:34:09.469177184,synthetic
so_00109,su_00761,9990.0,Теория вероятностей,2026-09-04 23:12:13.858600022,synthetic
so_00110,su_00766,14990.0,Backend старт,2026-09-13 14:22:54.776001924,synthetic
so_00111,su_00788,9990.0,ML про,2026-09-12 17:04:20.748007872,synthetic
so_00112,su_00791,3990.0,Дискретка,2026-08-18 13:35:23.228801295,synthetic
so_00113,su_00793,14990.0,AI агенты,2026-09-11 20:09:50.658465929,synthetic
so_00114,su_00804,5990.0,Backend старт,2026-09-11 18:53:55.019513321,synthetic
so_00115,su_00805,5990.0,Теория вероятностей,2026-09-08 22:55:48.190994115,synthetic
so_00116,su_00819,14990.0,Аналитика про,2026-09-14 01:29:33.582420977,synthetic
so_00117,su_00830,9990.0,Мат анализ,2026-09-12 15:02:48.341200207,synthetic
so_00118,su_00835,3990.0,AB тестам,2026-09-08 08:07:27.666876255,synthetic
so_00119,su_00842,5990.0,ML про,2026-08-19 11:54:15.827194020,synthetic
so_00120,su_00843,3990.0,Дискретка,2026-08-15 06:45:06.000012337,synthetic
so_00121,su_00847,14990.0,ML старт,2026-08-23 07:37:52.461877346,synthetic
so_00122,su_00849,5990.0,К ВУЗу,2026-08-19 20:27:00.593816636,synthetic
so_00123,su_00855,9990.0,AI агенты,2026-08-19 12:48:19.111604065,synthetic
so_00124,su_00860,9990.0,ML про,2026-08-15 14:52:00.538424016,synthetic
so_00125,su_00862,3990.0,ML про,2026-08-13 04:07:10.174068953,synthetic
so_00126,su_00865,5990.0,Мат анализ,2026-09-13 06:06:38.442348165,synthetic
so_00127,su_00868,9990.0,Линейная алгебра,2026-08-28 08:33:22.852036246,synthetic
so_00128,su_00885,19990.0,Алгоритмы,2026-09-04 19:51:04.947882371,synthetic
so_00129,su_00931,3990.0,К ВУЗу,2026-09-12 06:11:23.650418766,synthetic
so_00130,su_00934,3990.0,Теория вероятностей,2026-08-24 20:23:45.477190256,synthetic
so_00131,su_00937,5990.0,Аналитика про,2026-08-26 13:38:35.576094572,synthetic
so_00132,su_00939,5990.0,К ВУЗу,2026-09-17 08:23:33.617756905,synthetic
so_00133,su_00955,5990.0,Линейная алгебра,2026-08-17 14:16:02.879731623,synthetic
so_00134,su_00964,14990.0,Алгоритмы старт,2026-09-04 11:01:08.871841834,synthetic
so_00135,su_00965,3990.0,Алгоритмы,2026-09-03 01:45:19.897133803,synthetic
so_00136,su_00969,5990.0,Мат анализ,2026-08-25 08:48:58.355670412,synthetic
so_00137,su_00976,14990.0,Мат анализ,2026-08-11 21:28:00.116174350,synthetic
so_00138,su_00981,9990.0,AI агенты,2026-08-16 11:30:03.320245233,synthetic
so_00139,su_00982,3990.0,Дискретка,2026-09-07 02:37:46.148022555,synthetic
so_00140,su_00986,19990.0,ML старт,2026-09-13 06:05:36.925973228,synthetic
so_00141,su_00999,5990.0,Backend про,2026-09-13 13:56:14.165921709,synthetic
