Номер студента,Сумма,Курс,Время,Дата,Ключ заказа
511,4950.0,Аналитика старт,2026-08-08 17:29:42,2026-08-08,511|2026-08-08 17:29:42
256,5990.0,ML старт,2026-08-08 17:54:37,2026-08-08,256|2026-08-08 17:54:37
333,6490.0,Аналитика старт,2026-08-08 18:25:13,2026-08-08,333|2026-08-08 18:25:13
233,6490.0,Аналитика старт,2026-08-08 18:51:08,2026-08-08,233|2026-08-08 18:51:08
427,4950.0,ML старт,2026-08-08 19:23:46,2026-08-08,427|2026-08-08 19:23:46
427,4950.0,Алгоритмы,2026-08-08 19:23:46,2026-08-08,427|2026-08-08 19:23:46
120,6490.0,Аналитика старт,2026-08-08 19:28:26,2026-08-08,120|2026-08-08 19:28:26
469,4950.0,Алгоритмы,2026-08-08 19:45:24,2026-08-08,469|2026-08-08 19:45:24
161,4995.0,Backend старт,2026-08-08 19:49:42,2026-08-08,161|2026-08-08 19:49:42
161,4995.0,Алгоритмы старт,2026-08-08 19:49:42,2026-08-08,161|2026-08-08 19:49:42
320,4995.0,Алгоритмы старт,2026-08-08 19:54:31,2026-08-08,320|2026-08-08 19:54:31
320,4995.0,Аналитика старт,2026-08-08 19:54:31,2026-08-08,320|2026-08-08 19:54:31
135,4995.0,ML старт,2026-08-08 20:00:19,2026-08-08,135|2026-08-08 20:00:19
135,4995.0,Алгоритмы старт,2026-08-08 20:00:19,2026-08-08,135|2026-08-08 20:00:19
73,4995.0,Алгоритмы старт,2026-08-08 20:05:40,2026-08-08,73|2026-08-08 20:05:40
227,4725.0,ML старт,2026-08-08 20:08:33,2026-08-08,227|2026-08-08 20:08:33
227,4725.0,Алгоритмы старт,2026-08-08 20:08:33,2026-08-08,227|2026-08-08 20:08:33
507,6490.0,ML старт,2026-08-08 20:12:46,2026-08-08,507|2026-08-08 20:12:46
421,4995.0,Data Engenering,2026-08-08 20:25:37,2026-08-08,421|2026-08-08 20:25:37
421,4995.0,Алгоритмы,2026-08-08 20:25:37,2026-08-08,421|2026-08-08 20:25:37
401,8245.0,Backend про,2026-08-08 22:16:55,2026-08-08,401|2026-08-08 22:16:55
160,4995.0,Аналитика старт,2026-08-09 02:39:44,2026-08-09,160|2026-08-09 02:39:44
32,6490.0,ML старт,2026-08-09 04:36:11,2026-08-09,32|2026-08-09 04:36:11
415,4995.0,Backend старт,2026-08-09 04:51:42,2026-08-09,415|2026-08-09 04:51:42
167,4950.0,ML старт,2026-08-09 09:07:16,2026-08-09,167|2026-08-09 09:07:16
167,4950.0,Алгоритмы старт,2026-08-09 09:07:16,2026-08-09,167|2026-08-09 09:07:16
262,6490.0,Backend про,2026-08-09 09:10:55,2026-08-09,262|2026-08-09 09:10:55
570,4995.0,Алгоритмы старт,2026-08-09 09:24:57,2026-08-09,570|2026-08-09 09:24:57
570,4995.0,Аналитика старт,2026-08-09 09:24:57,2026-08-09,570|2026-08-09 09:24:57
520,6490.0,Аналитика старт,2026-08-09 09:27:27,2026-08-09,520|2026-08-09 09:27:27
598,4950.0,Backend старт,2026-08-09 09:43:34,2026-08-09,598|2026-08-09 09:43:34
598,4950.0,Алгоритмы,2026-08-09 09:43:34,2026-08-09,598|2026-08-09 09:43:34
279,6490.0,Аналитика старт,2026-08-09 09:48:26,2026-08-09,279|2026-08-09 09:48:26
207,6490.0,Алгоритмы старт,2026-08-09 10:15:38,2026-08-09,207|2026-08-09 10:15:38
457,6490.0,Алгоритмы старт,2026-08-09 10:16:31,2026-08-09,457|2026-08-09 10:16:31
389,4950.0,ML старт,2026-08-09 10:18:12,2026-08-09,389|2026-08-09 10:18:12
389,4950.0,Алгоритмы старт,2026-08-09 10:18:12,2026-08-09,389|2026-08-09 10:18:12
89,9900.0,Алгоритмы,2026-08-09 10:44:19,2026-08-09,89|2026-08-09 10:44:19
232,6490.0,Аналитика старт,2026-08-09 10:47:20,2026-08-09,232|2026-08-09 10:47:20
527,4950.0,ML старт,2026-08-09 10:49:47,2026-08-09,527|2026-08-09 10:49:47
527,4950.0,Алгоритмы старт,2026-08-09 10:49:47,2026-08-09,527|2026-08-09 10:49:47
129,6490.0,Аналитика старт,2026-08-09 10:56:45,2026-08-09,129|2026-08-09 10:56:45
19,4950.0,Алгоритмы старт,2026-08-09 11:01:50,2026-08-09,19|2026-08-09 11:01:50
19,4950.0,Аналитика старт,2026-08-09 11:01:50,2026-08-09,19|2026-08-09 11:01:50
38,6490.0,Аналитика старт,2026-08-09 12:15:31,2026-08-09,38|2026-08-09 12:15:31
206,4995.0,Backend старт,2026-08-09 13:00:12,2026-08-09,206|2026-08-09 13:00:12
206,4995.0,Алгоритмы,2026-08-09 13:00:12,2026-08-09,206|2026-08-09 13:00:12
356,6950.0,Backend старт,2026-08-09 13:48:05,2026-08-09,356|2026-08-09 13:48:05
336,4950.0,ML старт,2026-08-09 13:48:41,2026-08-09,336|2026-08-09 13:48:41
336,4950.0,Алгоритмы старт,2026-08-09 13:48:41,2026-08-09,336|2026-08-09 13:48:41
53,4950.0,ML старт,2026-08-09 13:57:35,2026-08-09,53|2026-08-09 13:57:35
543,4950.0,Алгоритмы старт,2026-08-09 14:01:24,2026-08-09,543|2026-08-09 14:01:24
476,4450.0,ML старт,2026-08-09 14:14:07,2026-08-09,476|2026-08-09 14:14:07
476,4450.0,Алгоритмы старт,2026-08-09 14:14:07,2026-08-09,476|2026-08-09 14:14:07
64,4995.0,Алгоритмы,2026-08-09 14:45:05,2026-08-09,64|2026-08-09 14:45:05
335,4950.0,ML старт,2026-08-09 16:07:42,2026-08-09,335|2026-08-09 16:07:42
335,4950.0,Алгоритмы старт,2026-08-09 16:07:42,2026-08-09,335|2026-08-09 16:07:42
400,6490.0,Алгоритмы старт,2026-08-09 16:12:09,2026-08-09,400|2026-08-09 16:12:09
58,5463.33,Backend старт,2026-08-09 16:12:46,2026-08-09,58|2026-08-09 16:12:46
58,5463.33,ML старт,2026-08-09 16:12:46,2026-08-09,58|2026-08-09 16:12:46
58,5463.34,Алгоритмы старт,2026-08-09 16:12:46,2026-08-09,58|2026-08-09 16:12:46
435,4950.0,Аналитика про,2026-08-09 16:13:53,2026-08-09,435|2026-08-09 16:13:53
435,4950.0,Аналитика старт,2026-08-09 16:13:53,2026-08-09,435|2026-08-09 16:13:53
365,6490.0,ML старт,2026-08-09 16:15:08,2026-08-09,365|2026-08-09 16:15:08
286,6490.0,Аналитика старт,2026-08-09 16:16:39,2026-08-09,286|2026-08-09 16:16:39
96,6490.0,Аналитика старт,2026-08-09 16:21:43,2026-08-09,96|2026-08-09 16:21:43
321,6490.0,ML старт,2026-08-09 16:24:15,2026-08-09,321|2026-08-09 16:24:15
550,5463.34,Алгоритмы старт,2026-08-09 16:24:42,2026-08-09,550|2026-08-09 16:24:42
577,5463.33,Backend старт,2026-08-09 16:26:30,2026-08-09,577|2026-08-09 16:26:30
176,6490.0,Алгоритмы,2026-08-09 16:29:58,2026-08-09,176|2026-08-09 16:29:58
331,4995.0,Алгоритмы старт,2026-08-09 16:31:09,2026-08-09,331|2026-08-09 16:31:09
331,4995.0,Аналитика старт,2026-08-09 16:31:09,2026-08-09,331|2026-08-09 16:31:09
138,6490.0,ML старт,2026-08-09 16:33:22,2026-08-09,138|2026-08-09 16:33:22
40,6490.0,Аналитика старт,2026-08-09 16:36:02,2026-08-09,40|2026-08-09 16:36:02
488,19350.0,Алгоритмы,2026-08-09 16:36:09,2026-08-09,488|2026-08-09 16:36:09
462,500.0,Алгоритмы старт,2026-08-09 16:45:22,2026-08-09,462|2026-08-09 16:45:22
329,6490.0,Алгоритмы старт,2026-08-09 16:51:47,2026-08-09,329|2026-08-09 16:51:47
12,6490.0,Backend старт,2026-08-09 16:52:01,2026-08-09,12|2026-08-09 16:52:01
371,4950.0,ML старт,2026-08-09 17:17:09,2026-08-09,371|2026-08-09 17:17:09
371,4950.0,Алгоритмы старт,2026-08-09 17:17:09,2026-08-09,371|2026-08-09 17:17:09
380,6490.0,ML старт,2026-08-09 17:19:11,2026-08-09,380|2026-08-09 17:19:11
184,4950.0,Алгоритмы старт,2026-08-09 17:20:07,2026-08-09,184|2026-08-09 17:20:07
470,4950.0,ML старт,2026-08-09 17:24:05,2026-08-09,470|2026-08-09 17:24:05
470,4950.0,Алгоритмы,2026-08-09 17:24:05,2026-08-09,470|2026-08-09 17:24:05
319,4950.0,ML старт,2026-08-09 17:25:06,2026-08-09,319|2026-08-09 17:25:06
402,4995.0,ML старт,2026-08-09 17:25:40,2026-08-09,402|2026-08-09 17:25:40
402,4995.0,Алгоритмы старт,2026-08-09 17:25:40,2026-08-09,402|2026-08-09 17:25:40
563,6490.0,Аналитика старт,2026-08-09 17:28:24,2026-08-09,563|2026-08-09 17:28:24
597,5990.0,ML старт,2026-08-09 18:00:04,2026-08-09,597|2026-08-09 18:00:04
589,5990.0,Алгоритмы старт,2026-08-09 18:06:31,2026-08-09,589|2026-08-09 18:06:31
65,6490.0,Аналитика старт,2026-08-09 18:45:20,2026-08-09,65|2026-08-09 18:45:20
103,6490.0,Аналитика старт,2026-08-09 18:46:42,2026-08-09,103|2026-08-09 18:46:42
62,4995.0,Backend старт,2026-08-09 18:47:09,2026-08-09,62|2026-08-09 18:47:09
62,4995.0,Алгоритмы старт,2026-08-09 18:47:09,2026-08-09,62|2026-08-09 18:47:09
187,4495.0,Алгоритмы старт,2026-08-09 18:48:05,2026-08-09,187|2026-08-09 18:48:05
187,4495.0,Аналитика старт,2026-08-09 18:48:05,2026-08-09,187|2026-08-09 18:48:05
369,4495.0,Алгоритмы старт,2026-08-09 18:53:23,2026-08-09,369|2026-08-09 18:53:23
282,8745.0,ML про,2026-08-09 18:55:57,2026-08-09,282|2026-08-09 18:55:57
323,4995.0,Backend старт,2026-08-09 18:56:09,2026-08-09,323|2026-08-09 18:56:09
323,4995.0,Алгоритмы,2026-08-09 18:56:09,2026-08-09,323|2026-08-09 18:56:09
382,4450.0,ML старт,2026-08-09 18:58:42,2026-08-09,382|2026-08-09 18:58:42
382,4450.0,Алгоритмы старт,2026-08-09 18:58:42,2026-08-09,382|2026-08-09 18:58:42
228,6450.0,Data Science,2026-08-09 19:02:28,2026-08-09,228|2026-08-09 19:02:28
84,6490.0,Backend старт,2026-08-09 19:07:32,2026-08-09,84|2026-08-09 19:07:32
374,6450.0,Data Science,2026-08-09 19:11:48,2026-08-09,374|2026-08-09 19:11:48
63,6450.0,Data Engenering,2026-08-09 19:29:08,2026-08-09,63|2026-08-09 19:29:08
63,6450.0,Data Science,2026-08-09 19:29:08,2026-08-09,63|2026-08-09 19:29:08
433,4950.0,ML старт,2026-08-09 19:40:37,2026-08-09,433|2026-08-09 19:40:37
433,4950.0,Алгоритмы старт,2026-08-09 19:40:37,2026-08-09,433|2026-08-09 19:40:37
439,6490.0,Backend старт,2026-08-09 20:20:29,2026-08-09,439|2026-08-09 20:20:29
223,6490.0,Алгоритмы старт,2026-08-09 20:27:29,2026-08-09,223|2026-08-09 20:27:29
508,4950.0,Backend старт,2026-08-09 21:33:27,2026-08-09,508|2026-08-09 21:33:27
508,4950.0,Алгоритмы старт,2026-08-09 21:33:27,2026-08-09,508|2026-08-09 21:33:27
478,6450.0,Data Engenering,2026-08-10 00:13:55,2026-08-10,478|2026-08-10 00:13:55
57,4950.0,ML старт,2026-08-10 00:14:10,2026-08-10,57|2026-08-10 00:14:10
445,4950.0,Аналитика про,2026-08-10 00:36:19,2026-08-10,445|2026-08-10 00:36:19
93,6950.0,К ВУЗу,2026-08-10 05:56:12,2026-08-10,93|2026-08-10 05:56:12
186,4950.0,Алгоритмы старт,2026-08-10 06:13:10,2026-08-10,186|2026-08-10 06:13:10
544,4995.0,Алгоритмы,2026-08-10 06:26:01,2026-08-10,544|2026-08-10 06:26:01
83,6490.0,Аналитика старт,2026-08-10 07:52:44,2026-08-10,83|2026-08-10 07:52:44
152,6490.0,ML старт,2026-08-10 08:42:13,2026-08-10,152|2026-08-10 08:42:13
446,6950.0,Data Engenering,2026-08-10 09:02:50,2026-08-10,446|2026-08-10 09:02:50
106,4950.0,Backend старт,2026-08-10 10:53:02,2026-08-10,106|2026-08-10 10:53:02
106,4950.0,Алгоритмы старт,2026-08-10 10:53:02,2026-08-10,106|2026-08-10 10:53:02
158,4700.0,Backend старт,2026-08-10 12:37:30,2026-08-10,158|2026-08-10 12:37:30
158,4700.0,Алгоритмы,2026-08-10 12:37:30,2026-08-10,158|2026-08-10 12:37:30
164,8745.0,ML старт,2026-08-10 13:08:15,2026-08-10,164|2026-08-10 13:08:15
500,6490.0,Аналитика старт,2026-08-10 13:21:01,2026-08-10,500|2026-08-10 13:21:01
467,6490.0,Аналитика старт,2026-08-10 13:55:50,2026-08-10,467|2026-08-10 13:55:50
217,6950.0,К ВУЗу,2026-08-10 14:24:20,2026-08-10,217|2026-08-10 14:24:20
258,6490.0,Алгоритмы,2026-08-10 15:03:03,2026-08-10,258|2026-08-10 15:03:03
408,6490.0,Аналитика старт,2026-08-10 15:22:41,2026-08-10,408|2026-08-10 15:22:41
584,6490.0,Алгоритмы старт,2026-08-10 15:33:39,2026-08-10,584|2026-08-10 15:33:39
519,4950.0,Алгоритмы старт,2026-08-10 16:09:27,2026-08-10,519|2026-08-10 16:09:27
519,4950.0,Аналитика про,2026-08-10 16:09:27,2026-08-10,519|2026-08-10 16:09:27
519,4950.0,Аналитика старт,2026-08-10 16:09:27,2026-08-10,519|2026-08-10 16:09:27
86,4950.0,Алгоритмы старт,2026-08-10 16:16:30,2026-08-10,86|2026-08-10 16:16:30
21,4950.0,Алгоритмы старт,2026-08-10 16:29:36,2026-08-10,21|2026-08-10 16:29:36
21,4950.0,Аналитика старт,2026-08-10 16:29:36,2026-08-10,21|2026-08-10 16:29:36
16,4950.0,ML старт,2026-08-10 16:56:42,2026-08-10,16|2026-08-10 16:56:42
16,4950.0,Алгоритмы старт,2026-08-10 16:56:42,2026-08-10,16|2026-08-10 16:56:42
67,6490.0,Аналитика старт,2026-08-10 18:01:06,2026-08-10,67|2026-08-10 18:01:06
498,4500.0,Аналитика про,2026-08-10 18:10:53,2026-08-10,498|2026-08-10 18:10:53
498,4500.0,Аналитика старт,2026-08-10 18:10:53,2026-08-10,498|2026-08-10 18:10:53
52,6450.0,К ВУЗу,2026-08-10 18:12:59,2026-08-10,52|2026-08-10 18:12:59
464,4500.0,Аналитика старт,2026-08-10 18:30:49,2026-08-10,464|2026-08-10 18:30:49
606,6450.0,К ВУЗу,2026-08-10 18:36:00,2026-08-10,606|2026-08-10 18:36:00
546,6490.0,Аналитика старт,2026-08-10 19:07:51,2026-08-10,546|2026-08-10 19:07:51
389,5990.0,Аналитика старт,2026-08-10 19:12:23,2026-08-10,389|2026-08-10 19:12:23
588,6450.0,К ВУЗу,2026-08-11 02:43:57,2026-08-11,588|2026-08-11 02:43:57
173,4950.0,ML старт,2026-08-11 07:48:36,2026-08-11,173|2026-08-11 07:48:36
173,4950.0,Алгоритмы старт,2026-08-11 07:48:36,2026-08-11,173|2026-08-11 07:48:36
417,6950.0,К ВУЗу,2026-08-11 10:51:54,2026-08-11,417|2026-08-11 10:51:54
281,4950.0,ML старт,2026-08-11 12:02:08,2026-08-11,281|2026-08-11 12:02:08
339,6450.0,К ВУЗу,2026-08-11 12:22:26,2026-08-11,339|2026-08-11 12:22:26
82,3245.0,Аналитика про,2026-08-11 12:46:14,2026-08-11,82|2026-08-11 12:46:14
82,3245.0,Аналитика старт,2026-08-11 12:46:14,2026-08-11,82|2026-08-11 12:46:14
142,6490.0,Аналитика старт,2026-08-11 15:49:13,2026-08-11,142|2026-08-11 15:49:13
304,6950.0,К ВУЗу,2026-08-11 15:52:40,2026-08-11,304|2026-08-11 15:52:40
311,4950.0,ML старт,2026-08-11 16:15:41,2026-08-11,311|2026-08-11 16:15:41
311,4950.0,Алгоритмы старт,2026-08-11 16:15:41,2026-08-11,311|2026-08-11 16:15:41
453,4950.0,Алгоритмы старт,2026-08-11 17:07:53,2026-08-11,453|2026-08-11 17:07:53
505,4950.0,ML старт,2026-08-11 18:00:05,2026-08-11,505|2026-08-11 18:00:05
505,4950.0,Алгоритмы старт,2026-08-11 18:00:05,2026-08-11,505|2026-08-11 18:00:05
112,8475.0,ML про,2026-08-11 18:41:42,2026-08-11,112|2026-08-11 18:41:42
112,8475.0,ML старт,2026-08-11 18:41:42,2026-08-11,112|2026-08-11 18:41:42
179,6490.0,Аналитика старт,2026-08-12 02:06:02,2026-08-12,179|2026-08-12 02:06:02
537,4950.0,ML старт,2026-08-12 04:49:43,2026-08-12,537|2026-08-12 04:49:43
537,4950.0,Алгоритмы старт,2026-08-12 04:49:43,2026-08-12,537|2026-08-12 04:49:43
46,6450.0,К ВУЗу,2026-08-12 05:13:04,2026-08-12,46|2026-08-12 05:13:04
260,4950.0,Алгоритмы,2026-08-12 05:32:11,2026-08-12,260|2026-08-12 05:32:11
260,4950.0,Алгоритмы про,2026-08-12 05:32:11,2026-08-12,260|2026-08-12 05:32:11
234,4950.0,ML старт,2026-08-12 06:04:03,2026-08-12,234|2026-08-12 06:04:03
332,9900.0,ML старт,2026-08-12 06:44:05,2026-08-12,332|2026-08-12 06:44:05
41,6500.0,ML старт,2026-08-12 10:22:39,2026-08-12,41|2026-08-12 10:22:39
536,8475.0,Аналитика про,2026-08-12 12:22:52,2026-08-12,536|2026-08-12 12:22:52
536,8475.0,Аналитика старт,2026-08-12 12:22:52,2026-08-12,536|2026-08-12 12:22:52
460,8745.0,Аналитика старт,2026-08-12 13:12:40,2026-08-12,460|2026-08-12 13:12:40
388,7000.0,ML старт,2026-08-12 13:28:18,2026-08-12,388|2026-08-12 13:28:18
521,6450.0,К ВУЗу,2026-08-12 14:21:51,2026-08-12,521|2026-08-12 14:21:51
586,8745.0,Аналитика старт,2026-08-12 17:45:53,2026-08-12,586|2026-08-12 17:45:53
170,6000.0,ML старт,2026-08-12 17:51:00,2026-08-12,170|2026-08-12 17:51:00
348,6950.0,К ВУЗу,2026-08-12 19:17:21,2026-08-12,348|2026-08-12 19:17:21
364,8475.0,Аналитика про,2026-08-13 00:01:02,2026-08-13,364|2026-08-13 00:01:02
66,8745.0,Алгоритмы старт,2026-08-13 05:36:55,2026-08-13,66|2026-08-13 05:36:55
426,6000.0,ML старт,2026-08-13 09:26:22,2026-08-13,426|2026-08-13 09:26:22
342,9950.0,Теория вероятностей,2026-08-13 09:48:34,2026-08-13,342|2026-08-13 09:48:34
275,8745.0,Алгоритмы старт,2026-08-13 09:51:23,2026-08-13,275|2026-08-13 09:51:23
132,8745.0,Аналитика про,2026-08-13 11:39:13,2026-08-13,132|2026-08-13 11:39:13
175,9950.0,Теория вероятностей,2026-08-13 16:14:01,2026-08-13,175|2026-08-13 16:14:01
153,5750.0,Алгоритмы,2026-08-13 18:30:59,2026-08-13,153|2026-08-13 18:30:59
208,6450.0,К ВУЗу,2026-08-13 19:25:17,2026-08-13,208|2026-08-13 19:25:17
79,9950.0,Теория вероятностей,2026-08-14 04:09:52,2026-08-14,79|2026-08-14 04:09:52
229,9950.0,Теория вероятностей,2026-08-14 04:19:44,2026-08-14,229|2026-08-14 04:19:44
474,6950.0,К ВУЗу,2026-08-14 07:16:32,2026-08-14,474|2026-08-14 07:16:32
45,5750.0,Алгоритмы,2026-08-14 10:04:52,2026-08-14,45|2026-08-14 10:04:52
442,6950.0,К ВУЗу,2026-08-14 11:21:45,2026-08-14,442|2026-08-14 11:21:45
316,4495.0,АВ тестам,2026-08-14 12:59:02,2026-08-14,316|2026-08-14 12:59:02
448,8475.0,ML про,2026-08-14 14:23:30,2026-08-14,448|2026-08-14 14:23:30
448,8475.0,ML старт,2026-08-14 14:23:30,2026-08-14,448|2026-08-14 14:23:30
391,8745.0,Алгоритмы старт,2026-08-14 18:55:11,2026-08-14,391|2026-08-14 18:55:11
420,6950.0,К ВУЗу,2026-08-14 20:17:00,2026-08-14,420|2026-08-14 20:17:00
276,2875.0,ML старт,2026-08-15 12:43:23,2026-08-15,276|2026-08-15 12:43:23
276,2875.0,Алгоритмы старт,2026-08-15 12:43:23,2026-08-15,276|2026-08-15 12:43:23
162,6950.0,К ВУЗу,2026-08-15 12:51:04,2026-08-15,162|2026-08-15 12:51:04
130,9950.0,Алгоритмы,2026-08-15 14:59:16,2026-08-15,130|2026-08-15 14:59:16
482,8475.0,ML старт,2026-08-15 16:30:16,2026-08-15,482|2026-08-15 16:30:16
482,8475.0,Алгоритмы,2026-08-15 16:30:16,2026-08-15,482|2026-08-15 16:30:16
484,8745.0,Аналитика старт,2026-08-15 19:17:47,2026-08-15,484|2026-08-15 19:17:47
564,8745.0,Аналитика старт,2026-08-16 04:38:14,2026-08-16,564|2026-08-16 04:38:14
479,8745.0,Аналитика старт,2026-08-16 09:40:02,2026-08-16,479|2026-08-16 09:40:02
441,8745.0,Алгоритмы старт,2026-08-16 09:40:30,2026-08-16,441|2026-08-16 09:40:30
133,4950.0,Аналитика про,2026-08-16 09:59:37,2026-08-16,133|2026-08-16 09:59:37
133,4950.0,Аналитика старт,2026-08-16 09:59:37,2026-08-16,133|2026-08-16 09:59:37
143,6950.0,К ВУЗу,2026-08-16 13:21:36,2026-08-16,143|2026-08-16 13:21:36
361,8745.0,ML старт,2026-08-17 10:53:42,2026-08-17,361|2026-08-17 10:53:42
361,8745.0,Алгоритмы старт,2026-08-17 10:53:42,2026-08-17,361|2026-08-17 10:53:42
522,6950.0,К ВУЗу,2026-08-17 16:24:17,2026-08-17,522|2026-08-17 16:24:17
562,8745.0,ML старт,2026-08-17 22:34:23,2026-08-17,562|2026-08-17 22:34:23
346,8745.0,ML старт,2026-08-18 10:15:05,2026-08-18,346|2026-08-18 10:15:05
477,9450.0,Линейная алгебра,2026-08-18 15:06:11,2026-08-18,477|2026-08-18 15:06:11
603,8745.0,Аналитика старт,2026-08-18 16:34:39,2026-08-18,603|2026-08-18 16:34:39
75,8475.0,Аналитика про,2026-08-18 18:53:33,2026-08-18,75|2026-08-18 18:53:33
