touch_id,user_id,touch_type,campaign_id,placement_id,creative_id,timestamp,start_param,data_source
t_000236,23,click,cmp_003,pl_007,cr_003,2026-09-02 06:06:35.087668300,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000235,23,bot_start,cmp_000,pl_004,cr_003,2026-09-03 03:43:50.560025004,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000258,24,bot_start,cmp_002,pl_008,cr_001,2026-09-03 01:57:10.409673904,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000275,25,click,cmp_002,pl_005,cr_004,2026-08-25 09:12:27.081654117,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000276,25,click,cmp_002,pl_002,cr_002,2026-08-25 09:31:45.621168273,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000274,25,bot_start,cmp_001,pl_006,cr_002,2026-08-27 17:01:54.179525596,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000293,26,click,cmp_002,pl_002,cr_002,2026-08-05 13:38:02.219441247,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000294,26,lead,cmp_002,pl_000,cr_000,2026-08-25 07:28:37.961559909,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000315,27,click,cmp_000,pl_004,cr_003,2026-08-25 21:19:33.787079929,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000340,28,click,cmp_004,pl_003,cr_000,2026-08-30 01:35:59.095681310,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000361,29,click,cmp_000,pl_001,cr_004,2026-08-22 10:46:39.282735036,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000359,29,click,cmp_002,pl_005,cr_004,2026-08-23 10:05:49.521894185,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000360,29,bot_start,cmp_002,pl_002,cr_002,2026-08-26 23:22:11.414560818,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000381,30,click,cmp_003,pl_009,cr_000,2026-08-16 23:38:30.040832971,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000382,30,bot_start,cmp_002,pl_002,cr_002,2026-08-18 12:23:29.842122370,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000380,30,bot_start,cmp_000,pl_001,cr_004,2026-08-21 18:44:31.402321185,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000398,31,click,cmp_003,pl_009,cr_000,2026-08-30 07:41:15.940226582,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000416,32,bot_start,cmp_002,pl_005,cr_004,2026-08-04 17:02:25.458436719,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000432,33,bot_start,cmp_000,pl_004,cr_003,2026-08-05 07:39:11.385982223,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000452,34,click,cmp_003,pl_007,cr_003,2026-08-27 23:04:38.801272037,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000466,35,lead,cmp_003,pl_009,cr_000,2026-08-28 11:37:07.362930179,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000485,36,click,cmp_003,pl_007,cr_003,2026-09-06 20:29:46.379021311,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000499,37,click,cmp_002,pl_005,cr_004,2026-08-30 23:07:06.199528880,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000517,38,click,cmp_002,pl_008,cr_001,2026-08-06 02:20:12.845220034,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000518,38,click,cmp_002,pl_000,cr_000,2026-08-06 10:59:31.017203656,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000516,38,click,cmp_001,pl_006,cr_002,2026-08-07 05:12:52.170309880,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000534,39,bot_start,cmp_002,pl_008,cr_001,2026-08-26 22:59:45.252213635,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000550,40,click,cmp_002,pl_002,cr_002,2026-08-07 05:56:13.319036082,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000569,41,click,cmp_001,pl_006,cr_002,2026-08-10 07:14:40.016046484,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000570,41,bot_start,cmp_004,pl_003,cr_000,2026-08-10 22:59:11.865992232,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000588,42,click,cmp_002,pl_002,cr_002,2026-09-03 08:38:44.342124820,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000607,43,click,cmp_004,pl_003,cr_000,2026-09-01 03:23:51.598662425,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000637,44,click,cmp_000,pl_001,cr_004,2026-08-30 13:33:53.678697776,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000636,44,bot_start,cmp_003,pl_007,cr_003,2026-08-31 19:53:00.096728996,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000657,45,click,cmp_003,pl_007,cr_003,2026-08-10 07:29:40.252714490,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000675,46,bot_start,cmp_002,pl_002,cr_002,2026-08-09 13:55:41.201810698,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000692,47,click,cmp_000,pl_004,cr_003,2026-08-06 14:35:43.407757221,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000708,48,click,cmp_002,pl_002,cr_002,2026-08-30 19:17:14.670587895,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000726,49,click,cmp_001,pl_006,cr_002,2026-08-30 22:56:22.260376470,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000725,49,bot_start,cmp_000,pl_004,cr_003,2026-09-04 07:23:16.840841054,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000750,50,click,cmp_003,pl_009,cr_000,2026-08-28 19:53:13.194597655,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000751,50,click,cmp_003,pl_007,cr_003,2026-08-31 04:20:00.033578380,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000770,51,bot_start,cmp_002,pl_005,cr_004,2026-08-31 02:24:48.141659045,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000769,51,click,cmp_002,pl_002,cr_002,2026-09-05 13:05:37.829393097,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000786,52,bot_start,cmp_001,pl_006,cr_002,2026-08-09 00:46:00.770959766,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000805,53,click,cmp_003,pl_007,cr_003,2026-08-08 01:22:25.990137191,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000823,54,click,cmp_002,pl_005,cr_004,2026-08-06 01:56:24.785461759,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000822,54,click,cmp_002,pl_005,cr_004,2026-08-07 03:45:49.393680990,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000821,54,bot_start,cmp_002,pl_008,cr_001,2026-08-07 08:56:15.330226521,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000843,55,click,cmp_003,pl_009,cr_000,2026-09-02 04:25:23.236057338,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000864,56,bot_start,cmp_004,pl_003,cr_000,2026-09-05 12:42:36.301986897,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000883,57,click,cmp_003,pl_007,cr_003,2026-08-08 23:17:53.017237235,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000904,58,click,cmp_000,pl_001,cr_004,2026-08-04 07:25:47.002312989,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000921,59,bot_start,cmp_002,pl_000,cr_000,2026-09-01 14:32:58.620614461,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000920,59,click,cmp_002,pl_005,cr_004,2026-09-03 12:39:31.753983255,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000919,59,click,cmp_002,pl_008,cr_001,2026-09-05 15:55:49.213790597,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000948,60,click,cmp_002,pl_008,cr_001,2026-09-01 16:22:24.721345733,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000959,61,click,cmp_001,pl_006,cr_002,2026-08-26 09:07:30.809356485,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000960,62,click,cmp_003,pl_009,cr_000,2026-08-08 18:52:24.211169783,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000961,63,bot_start,cmp_001,pl_006,cr_002,2026-08-06 02:30:07.297000178,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000962,63,click,cmp_000,pl_001,cr_004,2026-09-03 20:37:00.940815363,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000963,64,click,cmp_002,pl_002,cr_002,2026-08-07 16:24:39.385341094,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000966,65,click,cmp_002,pl_000,cr_000,2026-08-07 01:46:05.560327507,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000964,65,click,cmp_002,pl_000,cr_000,2026-08-07 04:16:41.157640775,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000965,65,click,cmp_002,pl_002,cr_002,2026-08-08 15:53:56.804462049,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000967,66,click,cmp_000,pl_004,cr_003,2026-08-09 05:37:33.215967352,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000968,66,click,cmp_002,pl_002,cr_002,2026-08-09 12:20:54.173837712,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000969,67,click,cmp_002,pl_002,cr_002,2026-08-08 12:52:03.758714090,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000970,67,click,cmp_001,pl_006,cr_002,2026-09-01 12:54:52.819909990,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000971,68,click,cmp_003,pl_009,cr_000,2026-09-03 13:22:06.686049146,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000972,69,lead,cmp_002,pl_000,cr_000,2026-08-19 15:15:27.246599355,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000976,70,click,cmp_004,pl_003,cr_000,2026-08-13 09:37:18.083568946,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000977,70,click,cmp_001,pl_006,cr_002,2026-08-15 04:12:01.565327328,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000978,71,bot_start,cmp_003,pl_009,cr_000,2026-08-20 17:44:35.704489270,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000981,72,bot_start,cmp_000,pl_004,cr_003,2026-09-01 00:30:31.956469018,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000980,72,click,cmp_002,pl_008,cr_001,2026-09-01 02:35:57.188356234,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000979,72,click,cmp_001,pl_006,cr_002,2026-09-01 18:47:10.515106288,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000982,73,click,cmp_002,pl_008,cr_001,2026-08-04 12:39:25.485974321,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000983,74,click,cmp_003,pl_007,cr_003,2026-08-31 00:36:01.639008481,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000985,75,click,cmp_002,pl_008,cr_001,2026-08-14 01:36:57.210671594,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000984,75,click,cmp_001,pl_006,cr_002,2026-08-17 03:37:14.682383560,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000986,76,click,cmp_000,pl_004,cr_003,2026-08-27 04:30:14.561924076,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000987,77,lead,cmp_000,pl_001,cr_004,2026-08-27 17:38:46.279569771,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000989,78,click,cmp_003,pl_007,cr_003,2026-09-02 06:46:16.720957102,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000988,78,click,cmp_004,pl_003,cr_000,2026-09-06 13:23:09.864874641,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000990,79,click,cmp_003,pl_007,cr_003,2026-08-11 13:44:38.786220854,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000996,80,bot_start,cmp_004,pl_003,cr_000,2026-09-03 12:21:52.229548673,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000994,80,bot_start,cmp_003,pl_007,cr_003,2026-09-04 20:55:21.244845413,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000995,80,lead,cmp_003,pl_009,cr_000,2026-09-05 13:27:06.329866895,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000998,81,bot_start,cmp_002,pl_005,cr_004,2026-08-24 03:59:46.258955570,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000997,81,bot_start,cmp_002,pl_000,cr_000,2026-08-26 22:58:26.068502427,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_001000,82,bot_start,cmp_002,pl_005,cr_004,2026-08-05 11:14:20.798622212,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000999,82,click,cmp_000,pl_001,cr_004,2026-08-10 21:35:35.065178854,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_001001,83,click,cmp_003,pl_007,cr_003,2026-08-07 08:07:52.355677697,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_001002,83,click,cmp_002,pl_000,cr_000,2026-08-08 04:03:58.681985156,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_001003,84,click,cmp_003,pl_009,cr_000,2026-08-05 19:13:26.447922714,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_001004,84,click,cmp_002,pl_002,cr_002,2026-08-06 05:11:02.319946863,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_001005,85,click,cmp_000,pl_004,cr_003,2026-08-23 16:52:09.317875643,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_001006,86,click,cmp_003,pl_009,cr_000,2026-08-06 18:33:53.821361878,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_001008,87,click,cmp_002,pl_002,cr_002,2026-08-18 13:41:49.187464065,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_001007,87,click,cmp_002,pl_000,cr_000,2026-08-21 22:21:41.505882560,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_001010,88,bot_start,cmp_003,pl_007,cr_003,2026-08-25 21:39:40.842631589,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_001011,88,click,cmp_001,pl_006,cr_002,2026-08-27 14:14:14.668181671,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_001009,88,bot_start,cmp_003,pl_007,cr_003,2026-08-28 16:47:14.364625822,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_001014,89,bot_start,cmp_000,pl_004,cr_003,2026-08-05 08:34:14.420657437,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_001012,89,click,cmp_002,pl_008,cr_001,2026-08-08 01:50:51.974524162,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_001013,89,bot_start,cmp_003,pl_009,cr_000,2026-08-08 10:08:17.580029151,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_001016,90,bot_start,cmp_000,pl_001,cr_004,2026-08-29 05:06:01.583869381,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_001017,91,bot_start,cmp_002,pl_000,cr_000,2026-08-18 16:20:24.581574546,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_001018,92,click,cmp_001,pl_006,cr_002,2026-08-20 17:37:50.962511134,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_001019,93,click,cmp_003,pl_007,cr_003,2026-08-07 10:17:33.323713516,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_001020,94,click,cmp_001,pl_006,cr_002,2026-08-31 14:17:30.759074536,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_001021,95,click,cmp_000,pl_001,cr_004,2026-08-18 20:21:00.648826209,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_001022,96,click,cmp_003,pl_009,cr_000,2026-08-07 00:11:08.639737550,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_001023,97,click,cmp_002,pl_005,cr_004,2026-09-02 07:21:55.262915443,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_001024,98,click,cmp_002,pl_008,cr_001,2026-08-16 17:57:33.594576498,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_001026,99,bot_start,cmp_000,pl_001,cr_004,2026-08-25 19:49:16.834584171,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_001025,99,bot_start,cmp_002,pl_005,cr_004,2026-08-26 19:38:29.380247218,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000002,100,click,cmp_002,pl_008,cr_001,2026-09-05 23:42:37.005205012,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000003,101,bot_start,cmp_003,pl_007,cr_003,2026-08-15 21:50:59.758937915,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000005,102,click,cmp_000,pl_004,cr_003,2026-09-03 23:30:20.370630017,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000004,102,click,cmp_003,pl_007,cr_003,2026-09-06 03:11:18.005851508,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000008,103,click,cmp_000,pl_004,cr_003,2026-08-04 05:36:52.371578765,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000006,103,click,cmp_001,pl_006,cr_002,2026-08-07 07:21:43.624928037,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000007,103,click,cmp_004,pl_003,cr_000,2026-08-07 21:18:11.247744553,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000009,104,bot_start,cmp_000,pl_004,cr_003,2026-08-19 18:06:40.743245138,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000011,105,click,cmp_000,pl_001,cr_004,2026-09-01 07:14:04.988705034,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000010,105,click,cmp_001,pl_006,cr_002,2026-09-04 21:52:30.008179834,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000012,106,click,cmp_002,pl_000,cr_000,2026-08-06 16:43:15.254301952,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000013,107,click,cmp_002,pl_002,cr_002,2026-08-19 04:08:50.295704433,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000014,107,click,cmp_004,pl_003,cr_000,2026-08-22 16:47:52.805312078,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000017,108,click,cmp_002,pl_000,cr_000,2026-09-02 20:04:46.494100979,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000015,108,bot_start,cmp_003,pl_007,cr_003,2026-09-03 15:24:01.492332810,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000016,108,click,cmp_003,pl_009,cr_000,2026-09-05 18:47:06.580396049,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000018,109,click,cmp_002,pl_000,cr_000,2026-09-03 06:13:50.759876994,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000020,110,click,cmp_002,pl_008,cr_001,2026-09-02 17:04:32.148566814,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000021,110,click,cmp_003,pl_007,cr_003,2026-09-06 15:57:35.479959162,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000022,111,click,cmp_000,pl_004,cr_003,2026-08-23 12:41:34.893327015,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000023,112,click,cmp_002,pl_002,cr_002,2026-08-07 12:02:58.063944259,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000024,113,click,cmp_003,pl_009,cr_000,2026-08-30 21:42:50.145843605,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000025,114,lead,cmp_002,pl_002,cr_002,2026-08-29 02:43:54.951970502,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000026,115,click,cmp_000,pl_004,cr_003,2026-08-29 21:26:20.851092423,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000027,115,bot_start,cmp_002,pl_008,cr_001,2026-08-31 21:47:32.655939207,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000028,116,click,cmp_000,pl_004,cr_003,2026-08-21 07:35:15.301788470,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000029,117,bot_start,cmp_002,pl_002,cr_002,2026-08-31 07:09:54.824616487,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000030,118,click,cmp_001,pl_006,cr_002,2026-08-16 21:30:52.747770720,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000031,119,bot_start,cmp_000,pl_001,cr_004,2026-09-04 13:42:46.045382855,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000035,120,click,cmp_002,pl_000,cr_000,2026-08-04 00:15:17.034604986,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000037,120,click,cmp_004,pl_003,cr_000,2026-08-04 05:46:59.857680491,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000036,120,bot_start,cmp_003,pl_007,cr_003,2026-08-07 16:44:13.519216654,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000038,121,click,cmp_002,pl_002,cr_002,2026-08-23 19:40:58.918138614,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000039,122,lead,cmp_002,pl_002,cr_002,2026-08-22 07:39:13.442843755,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000040,123,click,cmp_004,pl_003,cr_000,2026-09-09 02:12:34.380823075,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000041,124,click,cmp_002,pl_000,cr_000,2026-09-02 23:34:10.865400617,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000042,125,bot_start,cmp_001,pl_006,cr_002,2026-09-01 15:20:00.666096042,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000043,125,click,cmp_002,pl_000,cr_000,2026-09-06 00:19:54.966725413,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000045,126,click,cmp_002,pl_005,cr_004,2026-08-04 00:35:47.860055772,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000044,126,lead,cmp_003,pl_007,cr_003,2026-08-04 15:54:31.467982773,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000046,127,click,cmp_002,pl_002,cr_002,2026-09-04 07:34:06.282288907,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000048,128,bot_start,cmp_003,pl_007,cr_003,2026-08-27 14:32:19.889881856,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000049,128,bot_start,cmp_000,pl_004,cr_003,2026-08-29 13:07:46.797919572,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000047,128,click,cmp_001,pl_006,cr_002,2026-09-01 21:08:49.862118524,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000051,129,click,cmp_000,pl_001,cr_004,2026-08-04 10:53:36.690611392,c_cmp_000_p_pl_001_cr_cr_004,synthetic
